Unnamed: 0,Produto ,Quantidade,Tipo,Data
574,ALCATRA BOVINA,27509,boi,2023-11-30
575,FILÉ DE PEITO,20.0,frango,2023-11-30
576,ALCATRA BOVINA,27509,boi,2023-11-30
577,COXA S/ COXA,20.0,frango,2023-11-30
578,CARCAÇA BOVINA,259.4,boi,2023-11-30
579,FILE DE PEITO,20.0,frango,2023-11-30
580,CARCAÇA BOVINA,259.4,boi,2023-11-30
581,COXA S/ COXA,20.0,frango,2023-11-30
583,FILE DE FRANGO,36.0,frango,2023-11-29
584,CARCAÇA BOVINA,124.0,boi,2023-11-29
582,CARCAÇA SUINA,100.0,porco,2023-11-29
587,CARCAÇA SUINA,98.0,porco,2023-11-28
588,COSTELA S OSSO,49.0,porco,2023-11-28
585,PEITO DE FRANGO,20.0,frango,2023-11-28
586,CARCAÇA BOVINA,126.0,boi,2023-11-28
590,FILE DE FRANGO,36.0,frango,2023-11-27
589,COXA S/ COXA,20.0,frango,2023-11-27
591,CARCAÇA BOVINA,137.8,boi,2023-11-26
592,CARCAÇA BOVINA,159.8,boi,2023-11-24
602,MOELA,20.0,frango,2023-11-23
611,PEITO DE FRANGO,40.0,frango,2023-11-23
609,MOELA,20.0,frango,2023-11-23
607,CONTRA FILE,21748,boi,2023-11-23
606,CARCAÇA BOVINA,130.0,boi,2023-11-23
605,DIANTEIRO DE BOI,249.0,boi,2023-11-23
604,COXINHA DA ASA,15.0,frango,2023-11-23
603,MIOLO DE ALCATRA,20.04,boi,2023-11-23
610,BACON,18.0,porco,2023-11-23
601,BACON,18.0,porco,2023-11-23
595,CONTRA FILE,21748,boi,2023-11-23
600,PEITO DE FRANGO,40.0,frango,2023-11-23
593,COXA S/ COXA,15.0,frango,2023-11-23
594,COXINHA DA ASA,18.0,frango,2023-11-23
608,MIOLO DE ALCATRA,20.04,boi,2023-11-23
596,CARCAÇA BOVINA,130.0,boi,2023-11-23
597,DIANTEIRO DE BOI,209.0,boi,2023-11-23
598,CARCAÇA BOVINA,130.0,boi,2023-11-23
599,COXA S/ COXA,18.0,frango,2023-11-23
617,PEITO,20.0,frango,2023-11-22
612,FILE DE FRANGO,18.0,frango,2023-11-22
613,DIANTEIRO DE BOI,63.0,boi,2023-11-22
614,CARCAÇA BOVINA,136.0,boi,2023-11-22
615,COXA S/ COXA,20.0,frango,2023-11-22
616,MOELA,36.0,frango,2023-11-22
621,PERNIL,17473,porco,2023-11-21
620,DIANTEIRO DE BOI,48.0,boi,2023-11-21
619,COSTELA S OSSO,31.0,boi,2023-11-21
618,CARCAÇA BOVINA,139.6,boi,2023-11-21
622,FILE DE FRANGO,20.0,frango,2023-11-20
623,CARCAÇA SUINA,96.0,porco,2023-11-20
624,COXA S/ COXA,20.0,frango,2023-11-20
625,CARCAÇA BOVINA,303.4,boi,2023-11-20
626,BARRIGA SUINA,24668,porco,2023-11-17
627,COXA S/ COXA,18.0,frango,2023-11-17
628,FILE DE FRANGO,36.0,frango,2023-11-17
629,COXINHA DA ASA,18.0,frango,2023-11-17
630,CARCAÇA BOVINA,150.0,boi,2023-11-17
634,CARCAÇA BOVINA,264.0,boi,2023-11-16
633,CARCAÇA BOVINA,158.7,boi,2023-11-16
632,CARCAÇA BOVINA,264.0,boi,2023-11-16
631,CARCAÇA BOVINA,158.7,boi,2023-11-16
635,CARCAÇA SUINA,95.0,porco,2023-11-15
636,CARCAÇA SUINA,79.0,porco,2023-11-14
638,LINGUICA TIPO CALABRESA 500G CX 8KG (TF,5.0,porco,2023-11-14
639,COSTELA S OSSO,14.0,boi,2023-11-14
640,CARCAÇA BOVINA,314.0,boi,2023-11-14
641,CARCAÇA SUINA,292.0,porco,2023-11-14
637,MIOLO DE ALCATRA,17.12,boi,2023-11-14
644,PEITO DE FRANGO,30.0,frango,2023-11-13
646,FILE DE FRANGO,36.0,frango,2023-11-13
643,PEITO DE FRANGO,30.0,frango,2023-11-13
642,COXA S/ COXA,20.0,frango,2023-11-13
645,MIOLO DE ALCATRA,26.7,boi,2023-11-13
647,DIANTEIRO DE BOI,139.0,boi,2023-11-12
648,CARCAÇA BOVINA,136.0,boi,2023-11-12
649,BARRIGA SUÍNA,171.0,porco,2023-11-12
650,COSTELINHA,21.0,porco,2023-11-12
651,MIOLO DE ALCATRA,198.0,boi,2023-11-12
652,FIGADO BOV,191.0,boi,2023-11-12
653,CARCAÇA BOVINA,287.0,boi,2023-11-10
