Unnamed: 0,Produto ,Quantidade,Tipo,Data
306,porco,73.0,porco,2024-03-29
308,boi,114.0,boi,2024-03-28
309,boi,50.0,boi,2024-03-28
307,porco,139.0,porco,2024-03-28
310,boi,193.0,boi,2024-03-27
311,boi,135.0,boi,2024-03-27
312,porco,88.0,porco,2024-03-27
313,frango,60.0,frango,2024-03-26
314,boi,182.0,boi,2024-03-26
316,coxinha,18.0,frango,2024-03-25
317,boi,174.0,boi,2024-03-25
315,coxa,30.0,frango,2024-03-25
318,porco,153.0,porco,2024-03-24
319,miolo de alcatra,22.0,boi,2024-03-23
320,porco,163.0,porco,2024-03-22
321,file de frango,36.0,frango,2024-03-22
322,boi,128.0,boi,2024-03-22
323,file de frango,40.0,frango,2024-03-22
327,file de frango,40.0,frango,2024-03-21
328,boi,119.0,boi,2024-03-21
329,barriga suina,27.0,porco,2024-03-21
326,lingueça,5.0,porco,2024-03-21
325,boi,162.0,boi,2024-03-21
324,file de frango,60.0,frango,2024-03-21
330,bacon,18.0,porco,2024-03-20
331,porco,152.0,porco,2024-03-20
332,boi,170.0,boi,2024-03-20
333,frango,15.0,frango,2024-03-19
334,coxinha,15.0,frango,2024-03-19
335,boi,359.0,boi,2024-03-19
336,coxa,60.0,frango,2024-03-19
337,file de frango,30.0,frango,2024-03-18
338,porco,155.0,porco,2024-03-18
339,boi,180.0,boi,2024-03-17
343,barriga suina,28.0,porco,2024-03-15
342,porco,153.0,porco,2024-03-15
341,file de frango,40.0,frango,2024-03-15
340,boi,113.6,boi,2024-03-15
346,porco,151.0,porco,2024-03-14
344,boi,136.0,boi,2024-03-14
345,boi,231.0,boi,2024-03-14
347,boi,263.0,boi,2024-03-13
348,porco,80.0,porco,2024-03-13
349,boi,136.0,boi,2024-03-12
350,porco,77.0,porco,2024-03-12
351,coxa,20.0,frango,2024-03-12
352,file de frango,60.0,frango,2024-03-12
353,boi,114.0,boi,2024-03-11
355,porco,156.0,porco,2024-03-10
354,boi,128.0,boi,2024-03-10
356,boi,45.0,boi,2024-03-09
357,barriga suina,154.0,porco,2024-03-08
358,boi,292.0,boi,2024-03-08
359,frango,18.0,frango,2024-03-08
360,coxa,40.0,frango,2024-03-08
361,barriga suina,21.0,porco,2024-03-07
362,boi,124.0,boi,2024-03-07
363,boi,166.0,boi,2024-03-07
365,porco,76.0,porco,2024-03-06
366,boi,122.0,boi,2024-03-06
364,porco,79.0,porco,2024-03-06
367,alcatra,27.35,boi,2024-03-05
368,boi,310.0,boi,2024-03-05
369,lingueça,5.0,porco,2024-03-05
370,porco,78.0,porco,2024-03-05
371,frango,120.0,frango,2024-03-05
372,coxinha,15.0,frango,2024-03-05
373,file de frango,40.0,frango,2024-03-05
374,file de frango,40.0,frango,2024-03-04
378,porco,146.0,porco,2024-03-03
377,boi,222.0,boi,2024-03-03
376,boi,132.4,boi,2024-03-03
375,pernil,22.6,porco,2024-03-03
379,moela,108.0,frango,2024-03-01
380,coxa,18.0,frango,2024-03-01
381,coxa,40.0,frango,2024-03-01
382,porco,155.0,porco,2024-03-01
383,barriga suina,24,porco,2024-03-01
384,boi,164.0,boi,2024-03-01
