Unnamed: 0,Produto ,Quantidade,Tipo,Data
692,ALCATRA BOVINA,28,boi,2023-09-30
694,TRASEIRO DE BOI,53.0,boi,2023-09-29
695,CARCAÇA BOVINA,123.0,boi,2023-09-29
693,BARRIGA SUINA,28,porco,2023-09-29
696,CARCAÇA BOVINA,127.5,boi,2023-09-28
,CARCAÇA SUÍNA,161.0,porco,2023-09-28
697,CARCAÇA BOVINA,127.5,boi,2023-09-28
698,CARCAÇA BOVINA,258.8,boi,2023-09-28
699,CARCAÇA BOVINA,258.8,boi,2023-09-28
700,CARCAÇA BOVINA,258.8,boi,2023-09-28
701,CARCAÇA BOVINA,127.5,boi,2023-09-28
708,PEITO DE FRANGO,40.0,frango,2023-09-27
713,PEITO DE FRANGO,40.0,frango,2023-09-27
712,COXA S/ COXA,18.0,frango,2023-09-27
711,PEITO DE FRANGO,18.0,frango,2023-09-27
710,COSTELA S OSSO,58.0,boi,2023-09-27
,CARCAÇA SUÍNA,121.0,porco,2023-09-27
709,FILE DE FRANGO ENVELOPADO LEVO,18.0,frango,2023-09-27
705,COSTELA S OSSO,58.0,boi,2023-09-27
707,COXA S/ COXA,18.0,frango,2023-09-27
704,PEITO DE FRANGO,18.0,frango,2023-09-27
703,FILE DE FRANGO ENVELOPADO LEVO,18.0,frango,2023-09-27
702,DIANTEIRO DE BOI,84.0,boi,2023-09-27
,CARCAÇA SUÍNA,161.0,porco,2023-09-27
706,DIANTEIRO DE BOI,84.0,boi,2023-09-27
714,CARCAÇA BOVINA,146.4,boi,2023-09-26
715,CARCAÇA BOVINA,146.4,boi,2023-09-26
718,CARCAÇA BOVINA,142.0,boi,2023-09-25
719,FILE DE PEITO,20.0,frango,2023-09-25
717,FILE DE PEITO,20.0,frango,2023-09-25
716,CARCAÇA BOVINA,142.0,boi,2023-09-25
720,COXA S/ COXA,20.0,frango,2023-09-23
721,PEITO,20.0,frango,2023-09-23
722,COXA S/ COXA,20.0,frango,2023-09-23
,CARCAÇA SUÍNA,161.0,porco,2023-09-23
723,PEITO,20.0,frango,2023-09-23
724,TRASEIRO DE BOI,135.0,boi,2023-09-22
725,TRASEIRO DE BOI,135.0,boi,2023-09-22
,CARCAÇA SUÍNA,145.0,porco,2023-09-22
733,CARCAÇA BOVINA,134.0,boi,2023-09-21
732,CARCAÇA BOVINA,134.0,boi,2023-09-21
731,TRASEIRO DE BOI,62.0,boi,2023-09-21
730,CARCAÇA BOVINA,137.5,boi,2023-09-21
729,PEITO,20.0,frango,2023-09-21
727,CARCAÇA BOVINA,137.5,boi,2023-09-21
726,PEITO,20.0,frango,2023-09-21
728,TRASEIRO DE BOI,62.0,boi,2023-09-21
734,CARCAÇA BOVINA,258.8,boi,2023-09-20
735,CARCAÇA BOVINA,127.5,boi,2023-09-19
736,FILE DE FRANGO,82.0,frango,2023-09-18
737,CARCAÇA SUÍNA,161.0,porco,2023-09-16
738,FILE DE PEITO,136.0,frango,2023-09-15
739,ALCATRA BOVINA,23.0,boi,2023-09-14
742,CARCAÇA BOVINA,125.8,boi,2023-09-11
743,CARCAÇA BOVINA,241.0,boi,2023-09-11
741,CARCAÇA BOVINA,241.0,boi,2023-09-11
740,CARCAÇA BOVINA,125.8,boi,2023-09-11
744,FILE DE PEITO,80.0,frango,2023-09-10
745,CARCAÇA BOVINA,143.0,boi,2023-09-10
746,COXA S/ COXA,18.0,frango,2023-09-10
747,ASA,36.0,frango,2023-09-10
748,PERNIL,50,porco,2023-09-10
749,FILE DE PEITO,20.0,frango,2023-09-10
750,file de frango,105.0,frango,2023-09-01
,CARCAÇA SUÍNA,160.0,porco,2023-09-01
